DRAINAGE POINT,Date,MonthlyOil (bbl),MonthlyGAS (scf),MonthlyWATER (bbl),CONDENSATE (M3),PROD_DAYS
WELL001S-RES3,9/30/1984,5182.96,918190,6422.09,,30
WELL001S-RES3,10/31/1984,15567.75,882875,10435.11,,31
WELL001S-RES3,11/30/1984,1842.97,953505,9409.84,,30
WELL001S-RES3,12/31/1984,10674.13,1977640,11391.19,,31
WELL001S-RES3,1/31/1985,11479.25,1271340,8755.68,,31
WELL001S-RES3,2/28/1985,10328.18,1165395,3063.23,,28
WELL001S-RES3,3/31/1985,9183.4,2330790,18473.73,,31
WELL001S-RES3,4/30/1985,12825.31,1836380,10579.78,,30
WELL001S-RES3,5/31/1985,11472.96,1553860,9567.09,,31
WELL001S-RES3,6/30/1985,12190.01991,1165395,6906.41991,,30
WELL001S-RES3,7/31/1985,13693.33,2436735,8604.71991,,31
WELL001S-RES3,8/31/1985,13900.9,2189530,12290.66,,31
WELL001S-RES3,9/30/1985,2805.34,282520,3893.51,,30
WELL001S-RES3,10/31/1985,9453.87,2860515,10932.02,,31
WELL001S-RES3,11/30/1985,7428.49,5014730,6516.44,,30
WELL001S-RES3,12/31/1985,8522.95,2507365,5289.89,,31
WELL001S-RES3,1/31/1986,6529.01991,1695120,7434.78,,31
WELL001S-RES3,2/28/1986,4868.46,1836380,19134.18,,28
WELL001S-RES3,3/31/1986,3610.46,776930,12517.1,,31
WELL001S-RES3,4/30/1986,6812.07,953505,29959.27,,30
WELL001S-RES3,5/31/1986,10441.4,1801065,34242.76,,31
WELL001S-RES3,6/30/1986,9906.75,2895830,28959.16,,30
WELL001S-RES3,7/31/1986,8271.35,2613310,22285.47,,31
WELL001S-RES3,8/31/1986,10397.37,2154215,26550.09,,31
WELL001S-RES3,9/30/1986,9032.44,1624490,16322.55,,30
WELL001S-RES3,10/31/1986,19215.95,3566815,26971.51991,,31
WELL001S-RES3,11/30/1986,3012.91,1236025,5547.78,,30
WELL001S-RES3,12/31/1986,0,0,0,,31
WELL001S-RES3,1/31/1987,0,0,0,,31
WELL001S-RES3,2/28/1987,0,0,0,,28
WELL001S-RES3,3/31/1987,0,0,0,,31
WELL001S-RES3,4/30/1987,3239.35,494410,3736.26,,30
WELL001S-RES3,5/31/1987,8019.75,1730435,7780.73,,31
WELL001S-RES3,6/30/1987,13322.22,1165395,13108.36,,30
WELL001S-RES3,7/31/1987,5271.01991,423780,4421.87,,31
WELL001S-RES3,8/31/1987,9170.81991,3990595,15209.22,,31
WELL001S-RES3,9/30/1987,9491.61,2895830,15561.46,,30
WELL001S-RES3,10/31/1987,6176.78,2401420,10435.11,,31
WELL001S-RES3,11/30/1987,22254.01991,4449690,5170.38,,30
WELL001S-RES3,12/31/1987,22706.9,2577995,10693,,31
WELL001S-RES3,1/31/1988,9799.81991,5403195,7384.46,,31
WELL001S-RES3,2/29/1988,8686.49,6462645,14347.49,,29
WELL001S-RES3,3/31/1988,13529.79,5473825,9661.44,,31
WELL001S-RES3,4/30/1988,10592.36,3319610,15926.28,,30
WELL001S-RES3,5/31/1988,15976.6,6250755,9579.67,,31
WELL001S-RES3,6/30/1988,12422.75,2048270,11171.04,,30
WELL001S-RES3,7/31/1988,12127.12,2154215,11693.11,,31
WELL001S-RES3,8/31/1988,11378.61,3107720,13158.68,,31
WELL001S-RES3,9/30/1988,9655.15,4414375,13731.07,,30
WELL001S-RES3,10/31/1988,10711.87,1942325,10246.41,,31
WELL001S-RES3,11/30/1988,14473.29,2931145,7447.36,,30
WELL001S-RES3,12/31/1988,13366.25,2118900,10152.06,,31
WELL001S-RES3,1/31/1989,12586.29,3566815,13133.51991,,31
WELL001S-RES3,2/28/1989,10240.11991,3460870,14485.87,,28
WELL001S-RES3,3/31/1989,12473.07,3566815,13932.35,,31
WELL001S-RES3,4/30/1989,9579.67,4025910,29242.21,,30
WELL002L-RES2,11/30/1973,13334.4,0,0,,30
WELL002L-RES2,12/31/1973,8742.84,0,196.54,,31
WELL002L-RES2,1/31/1974,754.78,0,34.72,,31
WELL002L-RES2,2/28/1974,3648.09,0,44.24,,28
WELL002L-RES2,3/31/1974,7736.47,0,93.93,,31
WELL002L-RES2,4/30/1974,9120.23,0,110.7,,30
WELL002L-RES2,5/31/1974,9560.51,0,135.78,,31
WELL002L-RES2,6/30/1974,9623.41,0,77.7,,30
WELL002T-RES2,1/31/1982,1597.66,141260,364.82,,31
WELL002T-RES2,2/28/1982,685.61,0,44.03,,28
WELL002T-RES2,3/31/1982,1213.97,141260,358.53,,31
WELL002T-RES2,4/30/1982,9284.04,1024135,880.6,,30
WELL002T-RES2,5/31/1982,11567.31,953505,3308.54,,31
WELL002T-RES2,6/30/1982,5189.25,494410,2761.31,,30
WELL002T-RES2,7/31/1982,5849.7,529725,3509.82,,31
WELL002T-RES2,8/31/1982,3956.41,423780,3289.67,,31
WELL002T-RES2,9/30/1982,3434.34,282520,4642.02,,30
WELL002T-RES2,10/31/1982,3119.84,5509140,5271.02,,31
WELL002T-RES2,11/30/1982,1616.53,141260,2534.87,,30
WELL002T-RES2,12/31/1982,0,0,0,,31
WELL002T-RES2,1/31/1983,0,0,0,,31
WELL002T-RES2,2/28/1983,0,0,0,,28
WELL002T-RES2,3/31/1983,0,0,0,,31
WELL002T-RES2,4/30/1983,0,0,0,,30
WELL002T-RES2,5/31/1983,0,0,0,,31
WELL002T-RES2,6/30/1983,0,0,0,,30
WELL002T-RES2,7/31/1983,5837.11991,388465,7667.51,,31
WELL002T-RES2,8/31/1983,4006.73,211890,7038.51,,31
WELL002T-RES2,9/30/1983,2849.37,141260,4352.68,,30
WELL002T-RES2,10/31/1983,2440.51991,176575,3792.87,,31
WELL002T-RES2,11/30/1983,3056.94,211890,4962.81,,30
WELL002T-RES2,12/31/1983,2704.7,211890,3648.2,,31
WELL002T-RES2,1/31/1984,2107.15,141260,4428.16,,31
WELL002T-RES2,2/29/1984,1610.24,105945,3579.01,,29
WELL002T-RES2,3/31/1984,2648.09,211890,4981.68,,31
WELL002T-RES2,4/30/1984,1352.35,105945,2151.18,,30
WELL002T-RES2,5/31/1984,823.99,70630,2258.11,,31
WELL002T-RES2,6/30/1984,534.65,35315,1327.19,,30
WELL002T-RES2,7/31/1984,471.75,35315,1465.57,,31
